Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121
6431,6577,9561,8160,7981,7000,6358,6150,6409,6669,6895,7147,7557,7732,7825,8197,8488,8761,8909,9199,9408,9956,10182,10588,10820,11264,11287,11789,12311,12602,13076,13479,13928,14117,14591,15102,15297,15761,16088,16543,16980,17613,17750,18056,18095,18468,18524,18815,19335,20009,19673,20642,20539,20469,20541,21089,21785,21696,21651,22118,22355,22350,22540,22851,22554,22992,23393,23300,24032,24079,24230,24414,24340,24609,24682,25290,24717,25475,25095,25282,24725,25763,25100,25318,26170,25780,26240,25336,26122,26438,25907,26590,26405,26161,25896,26308,25062,25670,25980,25281,25651,25360,25240,25519,25406,25433,26638,25983,26744,26154,26245,27083,26630,27432,27138,27530,27452,27751,27713,27241
8101,7659,6724,6167,6529,7022,7677,8456,9206,9740,10498,11147,12004,12660,13349,14311,15241,16049,17324,18018,18776,20140,21011,22062,23185,24253,25422,26732,27536,29055,29854,30800,32193,33278,34512,35860,36654,37632,38829,39444,40663,41914,42564,43464,44042,44703,45082,46455,46980,47912,48265,49190,50132,50597,51066,51729,52689,52731,53081,53848,54622,55022,54885,56149,56151,56373,56643,57396,57665,58530,58764,58906,58848,60198,59966,60881,60831,61281,61595,61692,61606,62272,61829,62494,62959,62848,63310,63312,63238,64275,63920,64254,64662,64431,64318,64285,63485,63586,64259,63229,63896,63523,63871,63931,63583,63982,65221,64803,65777,65801,65690,66214,66014,67266,67158,67682,67886,68333,68417,67666
8047,7708,7258,7459,8178,9247,10749,12120,13544,15247,16659,18228,19854,21124,22822,24504,26342,28068,29836,31730,33249,35434,36888,38578,40874,42477,44336,46185,48418,50025,52559,54180,55999,57657,59387,61535,62855,64637,65774,67834,69146,70999,72754,74290,74775,76848,77625,78274,80171,81343,82728,83892,84286,85310,85833,87840,88901,89241,90363,91038,92814,92780,93475,93743,94849,94581,95907,96277,97342,97702,98595,99502,99131,99899,101032,101529,100655,102332,101846,103070,102504,103652,103800,103529,104341,104267,105260,104924,105401,106079,105712,106171,107215,107287,107012,106800,106184,106915,107238,106482,107356,106624,106353,106592,106610,107096,108707,108530,108779,108948,109631,110113,109909,111176,111147,110880,111790,112656,112967,112236
8107,7930,7316,7280,8252,9613,11008,12370,13929,15431,16974,18815,20483,21963,23423,25426,26937,28573,30403,31994,34072,36248,37509,39721,40954,42767,45302,47264,48952,50739,52891,54714,56315,57969,59841,61820,63197,65263,66413,67341,69221,71220,73379,74265,75327,76518,78002,78458,80854,81453,83067,83655,84625,85607,85514,87839,88607,89368,90326,91206,91551,92160,92889,93761,93873,94524,95795,96392,96720,97965,98355,99151,99462,99962,100261,100947,100352,101573,101412,102878,103071,103788,103739,104446,104962,105061,104903,104067,105501,106041,106334,106809,106743,106793,106321,105712,105334,105619,106809,106298,105566,106291,105915,105969,106618,106474,107660,107580,108268,108565,108942,109471,109889,110880,110265,111045,112259,111918,112483,112162
7751,7535,7271,7053,7987,9259,10537,12345,13550,14913,16646,17950,19508,21078,22568,24414,25875,27201,29080,30383,32684,34388,35576,37676,38911,40384,42680,44761,46371,48055,50334,51682,53709,54781,56892,58812,59670,61793,62562,64345,65443,67588,69192,70389,70581,72020,74028,74376,76207,76717,78353,79388,79394,81154,80569,83136,83410,84428,85009,85746,86412,86936,87593,88388,88359,87862,89641,91154,91046,91855,91613,92850,93103,93996,94370,94708,94305,95284,94926,96912,96853,96800,97588,97562,98678,98555,98976,98674,99739,99621,100008,100883,100424,100789,100736,100523,101495,100721,100807,100783,101060,101314,101679,101197,101822,102020,103227,103458,103539,104705,103466,104990,105265,106445,105237,106613,107287,107000,108150,107118
7949,6530,6521,7158,8085,9403,11002,12511,13662,15401,17334,18988,20647,22646,24318,26209,27884,29563,32099,33682,35932,37639,39583,42041,44021,45241,47965,49748,52120,53987,55826,57884,59601,61701,63909,65296,66974,69402,70163,71886,73401,75797,77223,79056,79249,81161,83361,83578,84965,86029,87688,89669,89659,91272,91350,93329,93993,94638,95453,97015,98142,98587,99312,99702,100633,100731,101845,103119,102895,104418,105150,105401,105988,106223,106962,107448,107219,108572,107875,109001,109977,110483,110205,110605,111168,111344,111220,110963,110943,111052,110653,111162,112028,111732,112241,112636,112790,112945,114284,114882,114439,115655,116285,115404,117093,117046,118211,118911,118960,119158,118678,120525,120414,119962,119997,119706,120650,120823,120148,119798
9327,7967,7848,8293,9134,10362,11645,13144,14663,16426,18554,20007,22077,24127,25898,28429,29810,31877,34316,35979,38383,40810,42312,44669,47187,48982,51340,53979,56108,58360,60592,63049,64704,67075,69221,71026,72190,75805,76923,78415,80438,83389,85021,86852,87087,89451,91392,92375,94893,95115,97428,98949,99423,102051,101579,104397,105437,106886,107556,108257,110033,110497,111602,111962,111952,112584,115551,115490,117066,117497,118572,119454,120112,120527,121238,121711,121299,123807,122324,124452,124253,125485,126630,126330,127223,127709,128204,126180,127733,127480,127583,127472,127567,127864,127354,127507,128896,127842,129976,130063,131150,131331,131793,131148,132484,133132,134262,134461,134093,135183,134274,136092,136406,136547,135510,135732,137177,136175,136716,134790
7725,6471,6368,7026,7878,9221,10630,12174,13662,15591,17543,19343,21417,23125,25005,27265,29002,30974,33480,35255,37323,39584,41655,43904,46498,48660,50723,52993,55085,57201,59886,61638,64313,66203,67996,70138,72279,74562,75449,77865,79732,82373,84265,85619,87093,88495,91102,91756,93806,94534,96905,98532,99134,100500,100671,103029,103999,105774,105918,107819,107919,109808,109795,110617,111265,111881,113843,114968,115290,115519,116285,117568,118072,118666,119535,120236,119721,121024,120836,121631,121967,123006,123782,124146,124526,124854,125167,124144,125001,124147,123421,124294,123717,124016,124222,123748,124101,124952,126318,126747,127221,127272,127184,128303,128834,129088,130956,130581,131056,131341,130540,131788,131618,132052,132133,131467,132622,132480,133060,131662
7897,6498,6448,6999,7822,9100,10152,11342,12708,14500,15967,17591,19142,20683,22629,24554,26293,28567,30383,32320,34740,37165,39215,41424,43883,46467,48693,51019,53900,55853,58517,61445,63710,66194,68748,70894,72547,75996,77627,79526,82624,84884,87529,89732,90725,92423,94737,95878,98344,99487,101170,104401,104469,106625,107638,109309,111126,112478,113252,114879,115410,116839,117260,119198,118514,120034,121743,123224,123655,124894,125755,127259,127231,127472,129280,130293,129869,131636,131671,132638,132434,133792,133547,134931,135524,135471,136346,135586,137057,137450,136702,136282,135801,136818,136861,136521,137126,137333,138075,138782,139903,140117,140924,141331,141303,142784,143245,143718,144916,145619,144563,146082,146494,147244,147501,147172,147489,147175,148834,146420
7940,6663,6560,7205,8065,9321,10488,11920,13317,14880,16417,18090,19606,21459,22933,25062,26831,28586,30330,32360,34873,36271,38102,40696,43007,45105,46821,49509,51321,53868,55493,58120,60169,62023,63968,66021,67656,70281,70948,73641,74939,77387,79406,81154,82265,83937,85675,86728,88010,90189,90903,93381,93718,95063,95812,97585,98730,99932,101087,101486,102246,103849,104614,105833,106017,107115,107960,109400,109753,110522,111047,111916,112500,113602,113385,115281,115139,115754,115889,116888,117523,118226,119117,119593,119310,119491,120606,119914,121225,121609,121923,121755,122237,122280,123286,122537,122688,123120,123861,124225,125311,125774,126060,126016,127540,127796,128801,129101,129073,129816,130299,130716,131283,131751,131357,130939,131479,131862,132197,131973
